Albero,Value
Faggio,10
Abete bianco,18
Bagolaro,1
Castagno,16
Platano orientale,2
Pino laricio,11
Pero selvatico,1
Pioppo canescente,1
Pino d'Aleppo,2
Sequoia sempreverde,2
Sequoia gigante,1
Abete del Caucaso,1
Leccio,1
Farnia,1
Roverella,11
Frassino maggiore,2
Olivo,4
Cedro dell'Himalaya,1
Rovere,5
Frassino meridionale,1
Pioppo nero,2
Acero di Monte,2
Olmo campestre,3
Carrubo,1
Eucalipto Rostrato,1
Fico Magnolide,1
Cedro del Libano,1
Sughera,1
Pino domestico,2
Ontano nero,2
Pino strobo,1
Platano comune,1
Tasso,2
Libocedro,1
Quercia castagnara,1
